Team,Round,Date,Year,Total Points
Brisbane Lions,R2,31/3/2019,2019,16.11
Brisbane Lions,R2,5/4/2012,2012,9.9
Brisbane Lions,R2,6/4/2013,2013,10.17
Brisbane Lions,R20,1/8/2021,2021,12.8
Brisbane Lions,R20,10/8/2013,2013,11.8
Brisbane Lions,R20,10/8/2014,2014,9.9
Brisbane Lions,R20,11/8/2012,2012,10.17
Brisbane Lions,R20,15/8/2015,2015,20.11
Brisbane Lions,R20,29/7/2023,2023,7.13
Brisbane Lions,R20,31/7/2022,2022,14.13
Brisbane Lions,R20,4/8/2018,2018,16.8
Brisbane Lions,R20,4/8/2019,2019,14.14
Brisbane Lions,R20,5/8/2017,2017,13.11
Brisbane Lions,R20,6/8/2016,2016,6.3
Brisbane Lions,R21,10/8/2019,2019,22.12
Brisbane Lions,R21,11/8/2018,2018,11.7
Brisbane Lions,R21,12/8/2017,2017,22.1
Brisbane Lions,R21,13/8/2016,2016,15.9
Brisbane Lions,R21,16/8/2014,2014,18.15
Brisbane Lions,R21,17/8/2013,2013,18.15
Brisbane Lions,R21,18/8/2012,2012,13.17
Brisbane Lions,R21,22/8/2015,2015,6.8
Brisbane Lions,R21,6/8/2023,2023,11.11
Brisbane Lions,R21,7/8/2022,2022,17.12
Brisbane Lions,R21,8/8/2021,2021,18.1
Brisbane Lions,R22,12/8/2022,2022,12.9
Brisbane Lions,R22,12/8/2023,2023,15.9
Brisbane Lions,R22,14/8/2021,2021,22.1
Brisbane Lions,R22,17/8/2019,2019,10.15
Brisbane Lions,R22,18/8/2018,2018,10.18
Brisbane Lions,R22,20/8/2017,2017,14.7
Brisbane Lions,R22,21/8/2016,2016,10.9
Brisbane Lions,R22,24/8/2014,2014,6.12
Brisbane Lions,R22,25/8/2012,2012,16.8
Brisbane Lions,R22,25/8/2013,2013,15.1
Brisbane Lions,R22,29/8/2015,2015,9.8
Brisbane Lions,R23,18/8/2023,2023,19.1
Brisbane Lions,R23,19/8/2022,2022,8.9
Brisbane Lions,R23,2/9/2012,2012,19.14
Brisbane Lions,R23,21/8/2021,2021,19.11
Brisbane Lions,R23,25/8/2019,2019,8.7
Brisbane Lions,R23,26/8/2017,2017,11.13
Brisbane Lions,R23,26/8/2018,2018,11.6
Brisbane Lions,R23,28/8/2016,2016,15.13
Brisbane Lions,R23,30/8/2014,2014,12.9
Brisbane Lions,R23,31/8/2013,2013,17.9
Brisbane Lions,R23,5/9/2015,2015,19.16
Brisbane Lions,R24,26/8/2023,2023,9.18
Brisbane Lions,R3,1/4/2021,2021,11.7
Brisbane Lions,R3,10/4/2016,2016,7.14
Brisbane Lions,R3,13/4/2013,2013,13.16
Brisbane Lions,R3,14/4/2012,2012,5.5
Brisbane Lions,R3,18/4/2015,2015,8.1
Brisbane Lions,R3,2/4/2022,2022,23.18
Brisbane Lions,R3,20/6/2020,2020,10.14
Brisbane Lions,R3,30/3/2023,2023,7.11
Brisbane Lions,R3,5/4/2014,2014,9.7
Brisbane Lions,R3,6/4/2019,2019,16.11
Brisbane Lions,R3,7/4/2018,2018,14.8
Brisbane Lions,R3,9/4/2017,2017,11.1
Brisbane Lions,R4,10/4/2021,2021,8.6
Brisbane Lions,R4,12/4/2014,2014,7.4
Brisbane Lions,R4,13/4/2019,2019,9.11
Brisbane Lions,R4,14/4/2018,2018,2.5
Brisbane Lions,R4,16/4/2016,2016,14.23
Brisbane Lions,R4,16/4/2017,2017,10.7
Brisbane Lions,R4,21/4/2012,2012,17.9
Brisbane Lions,R4,21/4/2013,2013,9.8
Brisbane Lions,R4,26/4/2015,2015,9.11
Brisbane Lions,R4,28/6/2020,2020,10.23
Brisbane Lions,R4,6/4/2023,2023,18.8
Brisbane Lions,R4,8/4/2022,2022,11.4
Brisbane Lions,R5,14/4/2022,2022,15.8
Brisbane Lions,R5,15/4/2023,2023,22.2
Brisbane Lions,R5,17/4/2014,2014,9.9
Brisbane Lions,R5,17/4/2021,2021,15.12
Brisbane Lions,R5,18/4/2019,2019,8.13
Brisbane Lions,R5,2/5/2015,2015,7.12
Brisbane Lions,R5,22/4/2017,2017,14.6
Brisbane Lions,R5,22/4/2018,2018,10.11
Brisbane Lions,R5,23/4/2016,2016,10.7
Brisbane Lions,R5,28/4/2012,2012,4.17
Brisbane Lions,R5,28/4/2013,2013,17.2
Brisbane Lions,R5,4/7/2020,2020,12.13
Brisbane Lions,R6,1/5/2016,2016,14.1
Brisbane Lions,R6,10/5/2015,2015,12.12
Brisbane Lions,R6,22/4/2023,2023,16.12
Brisbane Lions,R6,24/4/2021,2021,15.13
Brisbane Lions,R6,24/4/2022,2022,21.6
Brisbane Lions,R6,25/4/2014,2014,12.1
Brisbane Lions,R6,27/4/2019,2019,16.15
Brisbane Lions,R6,28/4/2018,2018,5.13
Brisbane Lions,R6,29/4/2017,2017,10.7
Brisbane Lions,R6,5/5/2012,2012,9.8
Brisbane Lions,R6,5/5/2013,2013,8.7
Brisbane Lions,R6,9/7/2020,2020,6.1
Brisbane Lions,R7,1/5/2021,2021,13.15
Brisbane Lions,R7,1/5/2022,2022,17.11
Brisbane Lions,R7,11/5/2013,2013,12.1
Brisbane Lions,R7,12/5/2012,2012,8.1
Brisbane Lions,R7,17/5/2015,2015,15.12
Brisbane Lions,R7,18/7/2020,2020,13.1
Brisbane Lions,R7,29/4/2023,2023,17.13
Brisbane Lions,R7,3/5/2014,2014,6.8
Brisbane Lions,R7,4/5/2019,2019,14.19
Brisbane Lions,R7,6/5/2018,2018,18.6
Brisbane Lions,R7,7/5/2017,2017,12.9
Brisbane Lions,R7,8/5/2016,2016,7.17
Brisbane Lions,R8,10/5/2014,2014,8.9
Brisbane Lions,R8,11/5/2019,2019,11.1
Brisbane Lions,R8,12/5/2018,2018,14.9
Brisbane Lions,R8,13/5/2017,2017,11.9
Brisbane Lions,R8,14/5/2016,2016,10.5
Brisbane Lions,R8,18/5/2013,2013,14.12
Brisbane Lions,R8,20/5/2012,2012,19.18
Brisbane Lions,R8,24/5/2015,2015,12.6
Brisbane Lions,R8,26/7/2020,2020,7.11
Brisbane Lions,R8,5/5/2023,2023,15.1
Brisbane Lions,R8,7/5/2022,2022,16.9
Brisbane Lions,R8,9/5/2021,2021,14.11
Brisbane Lions,R9,13/5/2023,2023,12.15
Brisbane Lions,R9,14/5/2022,2022,16.6
Brisbane Lions,R9,15/5/2021,2021,19.1
Brisbane Lions,R9,17/5/2014,2014,6.2
Brisbane Lions,R9,18/5/2019,2019,13.15
Brisbane Lions,R9,20/5/2017,2017,7.18
Brisbane Lions,R9,20/5/2018,2018,20.9
Brisbane Lions,R9,22/5/2016,2016,9.14
Brisbane Lions,R9,25/5/2013,2013,12.13
Brisbane Lions,R9,27/5/2012,2012,15.6
Brisbane Lions,R9,31/5/2015,2015,13.8
Brisbane Lions,R9,31/7/2020,2020,14.7
Brisbane Lions,SF,14/9/2019,2019,11.14
Brisbane Lions,SF,4/9/2021,2021,11.12
Brisbane Lions,SF,9/9/2022,2022,14.8
Carlton,EF,8/9/2013,2013,18.8
Carlton,EF,8/9/2023,2023,11.8
Carlton,PF,23/9/2023,2023,9.9
Carlton,R1,16/3/2014,2014,12.15
Carlton,R1,16/3/2023,2023,8.1
Carlton,R1,17/3/2022,2022,14.17
Carlton,R1,18/3/2021,2021,11.14
Carlton,R1,19/3/2020,2020,12.9
Carlton,R1,2/4/2015,2015,11.12
Carlton,R1,21/3/2019,2019,9.1
Carlton,R1,22/3/2018,2018,15.5
Carlton,R1,23/3/2017,2017,14.5
Carlton,R1,24/3/2016,2016,12.11
Carlton,R1,28/3/2013,2013,14.17
Carlton,R1,29/3/2012,2012,18.17
Carlton,R10,1/6/2013,2013,22.16
Carlton,R10,2/6/2012,2012,6.9
Carlton,R10,20/5/2022,2022,15.12
Carlton,R10,21/5/2023,2023,7.15
Carlton,R10,22/5/2021,2021,13.8
Carlton,R10,25/5/2014,2014,12.9
Carlton,R10,26/5/2018,2018,5.15
Carlton,R10,26/5/2019,2019,8.7
Carlton,R10,28/5/2017,2017,15.6
Carlton,R10,29/5/2016,2016,16.8
Carlton,R10,6/6/2015,2015,14.6
Carlton,R11,1/6/2018,2018,9.7
Carlton,R11,2/6/2019,2019,4.9
Carlton,R11,26/5/2023,2023,6.15
