Team,Round,Date,Year,Total Points,RoundOrder
Geelong,R23,1/9/2012,2012,17.1,23
Gold Coast,R23,1/9/2012,2012,9.8,23
Greater Western Sydney,R23,1/9/2012,2012,11.11,23
Hawthorn,R23,31/8/2012,2012,14.11,23
Melbourne,R23,1/9/2012,2012,5.1,23
North Melbourne,R23,1/9/2012,2012,16.9,23
Port Adelaide,R23,2/9/2012,2012,16.1,23
Richmond,R23,2/9/2012,2012,16.1,23
St Kilda,R23,2/9/2012,2012,16.1,23
Sydney,R23,1/9/2012,2012,11.12,23
West Coast,R23,31/8/2012,2012,10.1,23
Western Bulldogs,R23,2/9/2012,2012,9.7,23
Fremantle,EF,8/9/2012,2012,14.12,25
Geelong,EF,8/9/2012,2012,11.14,25
North Melbourne,EF,9/9/2012,2012,9.12,25
West Coast,EF,9/9/2012,2012,24.18,25
Adelaide,QF,8/9/2012,2012,5.12,26
Collingwood,QF,7/9/2012,2012,15.7,26
Hawthorn,QF,7/9/2012,2012,20.15,26
Sydney,QF,8/9/2012,2012,11.5,26
Adelaide,SF,14/9/2012,2012,12.9,27
Collingwood,SF,15/9/2012,2012,10.13,27
Fremantle,SF,14/9/2012,2012,11.5,27
West Coast,SF,15/9/2012,2012,9.6,27
Adelaide,PF,22/9/2012,2012,14.8,28
Collingwood,PF,21/9/2012,2012,10.1,28
Hawthorn,PF,22/9/2012,2012,13.19,28
Sydney,PF,21/9/2012,2012,13.18,28
Hawthorn,GF,29/9/2012,2012,11.15,29
Sydney,GF,29/9/2012,2012,14.7,29
Adelaide,R1,22/3/2013,2013,11.16,1
Brisbane Lions,R1,30/3/2013,2013,7.17,1
Carlton,R1,28/3/2013,2013,14.17,1
Collingwood,R1,31/3/2013,2013,15.13,1
Essendon,R1,22/3/2013,2013,18.9,1
Fremantle,R1,23/3/2013,2013,16.12,1
Geelong,R1,1/4/2013,2013,13.15,1
Gold Coast,R1,30/3/2013,2013,13.12,1
Greater Western Sydney,R1,30/3/2013,2013,11.1,1
Hawthorn,R1,1/4/2013,2013,12.14,1
Melbourne,R1,31/3/2013,2013,8.6,1
North Melbourne,R1,31/3/2013,2013,13.9,1
Port Adelaide,R1,31/3/2013,2013,19.19,1
Richmond,R1,28/3/2013,2013,14.22,1
St Kilda,R1,30/3/2013,2013,10.17,1
Sydney,R1,30/3/2013,2013,16.1,1
West Coast,R1,23/3/2013,2013,11.14,1
Western Bulldogs,R1,30/3/2013,2013,19.13,1
Adelaide,R2,6/4/2013,2013,14.12,2
Brisbane Lions,R2,6/4/2013,2013,10.17,2
Carlton,R2,7/4/2013,2013,15.1,2
Collingwood,R2,7/4/2013,2013,17.15,2
Essendon,R2,6/4/2013,2013,28.16,2
Fremantle,R2,6/4/2013,2013,16.1,2
Geelong,R2,7/4/2013,2013,16.16,2
Gold Coast,R2,6/4/2013,2013,11.7,2
Greater Western Sydney,R2,6/4/2013,2013,11.12,2
Hawthorn,R2,7/4/2013,2013,23.1,2
Melbourne,R2,6/4/2013,2013,5.6,2
North Melbourne,R2,7/4/2013,2013,17.6,2
Port Adelaide,R2,6/4/2013,2013,19.2,2
Richmond,R2,5/4/2013,2013,14.15,2
St Kilda,R2,5/4/2013,2013,12.1,2
Sydney,R2,6/4/2013,2013,17.12,2
West Coast,R2,7/4/2013,2013,15.8,2
Western Bulldogs,R2,6/4/2013,2013,11.12,2
Adelaide,R3,14/4/2013,2013,16.13,3
Brisbane Lions,R3,13/4/2013,2013,13.16,3
Carlton,R3,13/4/2013,2013,15.13,3
Collingwood,R3,14/4/2013,2013,13.12,3
Essendon,R3,12/4/2013,2013,10.12,3
Fremantle,R3,12/4/2013,2013,9.14,3
Geelong,R3,13/4/2013,2013,18.11,3
Gold Coast,R3,13/4/2013,2013,13.14,3
Greater Western Sydney,R3,13/4/2013,2013,10.8,3
Hawthorn,R3,14/4/2013,2013,22.13,3
Melbourne,R3,13/4/2013,2013,13.5,3
North Melbourne,R3,13/4/2013,2013,13.14,3
Port Adelaide,R3,14/4/2013,2013,17.16,3
Richmond,R3,14/4/2013,2013,20.15,3
St Kilda,R3,13/4/2013,2013,21.14,3
Sydney,R3,13/4/2013,2013,20.11,3
West Coast,R3,13/4/2013,2013,27.15,3
Western Bulldogs,R3,14/4/2013,2013,10.8,3
Adelaide,R4,21/4/2013,2013,12.8,4
Brisbane Lions,R4,21/4/2013,2013,9.8,4
Carlton,R4,20/4/2013,2013,12.17,4
Collingwood,R4,20/4/2013,2013,16.17,4
Essendon,R4,20/4/2013,2013,19.14,4
Fremantle,R4,20/4/2013,2013,11.1,4
Geelong,R4,19/4/2013,2013,19.1,4
Gold Coast,R4,20/4/2013,2013,9.12,4
Greater Western Sydney,R4,21/4/2013,2013,15.13,4
Hawthorn,R4,20/4/2013,2013,18.1,4
Melbourne,R4,21/4/2013,2013,22.12,4
North Melbourne,R4,21/4/2013,2013,18.17,4
Port Adelaide,R4,20/4/2013,2013,16.8,4
Richmond,R4,20/4/2013,2013,11.13,4
St Kilda,R4,20/4/2013,2013,13.13,4
Sydney,R4,19/4/2013,2013,16.7,4
West Coast,R4,20/4/2013,2013,7.23,4
Western Bulldogs,R4,21/4/2013,2013,4.4,4
Adelaide,R5,27/4/2013,2013,12.11,5
Brisbane Lions,R5,28/4/2013,2013,17.2,5
Carlton,R5,27/4/2013,2013,17.13,5
Collingwood,R5,25/4/2013,2013,10.15,5
Essendon,R5,25/4/2013,2013,18.13,5
Fremantle,R5,26/4/2013,2013,12.9,5
Geelong,R5,27/4/2013,2013,15.17,5
Gold Coast,R5,27/4/2013,2013,21.22,5
Greater Western Sydney,R5,27/4/2013,2013,16.8,5
Hawthorn,R5,28/4/2013,2013,14.15,5
Melbourne,R5,28/4/2013,2013,14.1,5
North Melbourne,R5,28/4/2013,2013,13.18,5
Port Adelaide,R5,27/4/2013,2013,12.12,5
Richmond,R5,26/4/2013,2013,12.8,5
St Kilda,R5,25/4/2013,2013,9.9,5
Sydney,R5,25/4/2013,2013,11.13,5
West Coast,R5,27/4/2013,2013,10.19,5
Western Bulldogs,R5,27/4/2013,2013,13.8,5
Adelaide,R6,4/5/2013,2013,11.12,6
Brisbane Lions,R6,5/5/2013,2013,8.7,6
Carlton,R6,5/5/2013,2013,18.13,6
Collingwood,R6,3/5/2013,2013,15.13,6
Essendon,R6,4/5/2013,2013,17.18,6
Fremantle,R6,4/5/2013,2013,15.9,6
Geelong,R6,4/5/2013,2013,20.11,6
Gold Coast,R6,4/5/2013,2013,7.12,6
Greater Western Sydney,R6,4/5/2013,2013,12.9,6
Hawthorn,R6,4/5/2013,2013,13.11,6
Melbourne,R6,5/5/2013,2013,8.12,6
North Melbourne,R6,4/5/2013,2013,14.9,6
Port Adelaide,R6,4/5/2013,2013,12.11,6
Richmond,R6,4/5/2013,2013,13.9,6
St Kilda,R6,3/5/2013,2013,11.11,6
Sydney,R6,5/5/2013,2013,17.13,6
West Coast,R6,5/5/2013,2013,21.11,6
Western Bulldogs,R6,5/5/2013,2013,10.7,6
Adelaide,R7,12/5/2013,2013,29.13,7
Brisbane Lions,R7,11/5/2013,2013,12.1,7
Carlton,R7,13/5/2013,2013,9.14,7
Collingwood,R7,11/5/2013,2013,10.13,7
Essendon,R7,10/5/2013,2013,11.19,7
Fremantle,R7,11/5/2013,2013,15.1,7
Geelong,R7,10/5/2013,2013,17.11,7
Gold Coast,R7,12/5/2013,2013,16.18,7
Greater Western Sydney,R7,12/5/2013,2013,7.1,7
Hawthorn,R7,11/5/2013,2013,18.11,7
Melbourne,R7,12/5/2013,2013,7.12,7
North Melbourne,R7,11/5/2013,2013,22.19,7
Port Adelaide,R7,11/5/2013,2013,10.13,7
Richmond,R7,11/5/2013,2013,18.6,7
St Kilda,R7,13/5/2013,2013,11.11,7
Sydney,R7,11/5/2013,2013,12.1,7
West Coast,R7,11/5/2013,2013,17.6,7
Western Bulldogs,R7,11/5/2013,2013,15.7,7
Adelaide,R8,19/5/2013,2013,12.15,8
Brisbane Lions,R8,18/5/2013,2013,14.12,8
Carlton,R8,19/5/2013,2013,16.13,8
